kernel,N_kv,N_q,d,time_ms,gflops
stage1,256,32,64,0.0059,354.25
stage2,256,32,64,0.0123,354.25
stage1,512,32,64,0.0043,970.90
stage2,512,32,64,0.0162,970.90
stage1,1024,32,64,0.0051,1638.40
stage2,1024,32,64,0.0184,1638.40
stage1,2048,32,64,0.0072,2340.57
stage2,2048,32,64,0.0573,2340.57
stage1,256,32,128,0.0060,704.69
stage2,256,32,128,0.0078,704.69
stage1,512,32,128,0.0061,1365.33
stage2,512,32,128,0.0115,1365.33
stage1,1024,32,128,0.0072,2340.57
stage2,1024,32,128,0.0215,2340.57
stage1,2048,32,128,0.0107,3148.88
stage2,2048,32,128,0.0430,3148.88
