kernel,KV_seqlen,d,time_ms,bandwidth_gbs
baseline,256,128,0.0960,1.41
decode_s1,256,128,0.0099,6.34
decode_total,256,128,0.0214,6.34
baseline,512,128,0.1874,1.45
decode_s1,512,128,0.0092,14.61
decode_total,512,128,0.0186,14.61
baseline,1024,128,0.3699,1.46
decode_s1,1024,128,0.0092,22.63
decode_total,1024,128,0.0239,22.63
baseline,2048,128,1.1006,0.98
decode_s1,2048,128,0.0102,28.58
decode_total,2048,128,0.0379,28.58
baseline,4096,128,1.4674,1.48
decode_s1,4096,128,0.0102,35.24
decode_total,4096,128,0.0614,35.24
baseline,8192,128,4.5844,0.94
decode_s1,8192,128,0.0123,38.44
decode_total,8192,128,0.1126,38.44
